response	cog	fusarium_response_hits	fusarium_response_total	fusarium_background_hits	fusarium_background_total	ophiostoma_response_hits	ophiostoma_response_total	ophiostoma_background_hits	ophiostoma_background_total	fusarium_response_percent	ophiostoma_response_percent	fusarium_within_species_or	fusarium_within_species_pvalue	ophiostoma_within_species_or	ophiostoma_within_species_pvalue	interaction_log_odds	interaction_se	interaction_odds_ratio	interaction_ci_lower	interaction_ci_upper	interaction_pvalue	direct_foreground_or	direct_foreground_pvalue	interaction_padj	direct_foreground_padj	cog_name	interaction_direction	log2_interaction_or
Repressed	K	58	1219	471	6920	113	1859	329	7011	4.7579983593109105	6.078536847767617	0.6396891260429938	0.9995467632986597	1.4788677131326682	7.921943938058445e-4	0.8381834227222945	0.18699580910565447	2.3121629368020886	1.60267103924479	3.3357422174674385	7.382042906440455e-6	1.2953962034830824	0.1265660671214747	4.06012359854225e-5	0.19888953404803167	Transcription	Stronger in Ophiostoma	1.209243067316792
Repressed	O	118	1219	645	6920	84	1859	498	7011	9.680065627563577	4.518558364712211	1.0522278051821452	0.33401504862064074	0.5416376705394144	0.9999999528169573	-0.6641457941229518	0.16299787485742587	0.51471301085423	0.3739543197087313	0.7084541335128238	4.610000100659232e-5	0.44167428978053896	2.6532955873653077e-8	2.0284000442900624e-4	1.9457500974012255e-7	Post-translational modification and protein turnover	Stronger in Fusarium	-0.9581598436084449
Repressed	Z	35	1219	139	6920	22	1859	128	7011	2.871205906480722	1.183431952662722	1.5907580566228539	0.014860194899903614	0.5701285731796044	0.9955600092707588	-1.026223962569222	0.30796275384300786	0.3583575806063995	0.19596269684168077	0.6553295991931739	8.613167750047284e-4	0.4052529228689664	9.145626645970134e-4	0.0031581615083506706	0.004024075724226859	Cytoskeleton	Stronger in Fusarium	-1.480528221640038
Repressed	I	69	1219	325	6920	53	1859	277	7011	5.660377358490566	2.8509951586874664	1.2761231732824725	0.049055767710717346	0.6456424720603066	0.9986439160205239	-0.6814002411974643	0.20866490314934494	0.5059081028055522	0.3360875957461734	0.7615366104663126	0.0010926176078889004	0.4892198978441444	1.3885568994210484e-4	0.0034339410533651155	7.637062946815766e-4	Lipid transport and metabolism	Stronger in Fusarium	-0.9830527488361254
Repressed	U	76	1219	448	6920	80	1859	460	7011	6.234618539786711	4.303388918773535	0.9524978104426234	0.6658382062112921	0.564757585211214	0.9999993190969091	-0.5227772270125252	0.1811404334640757	0.5928717200893178	0.4156912521517238	0.8455719832020254	0.003901315333077878	0.676419328104756	0.0185967768305916	0.010728617165964165	0.06152375660496804	Intracellular trafficking and secretion	Stronger in Fusarium	-0.7542081129006538
Repressed	H	52	1219	205	6920	52	1859	221	7011	4.265791632485644	2.797202797202797	1.6156291279407042	0.002970036465800749	0.8485190308446794	0.8647801140143515	-0.6440978349934399	0.22957741537022558	0.5251360878684237	0.33485101778046433	0.8235540468404736	0.005022609143388355	0.6459366787723317	0.03191320148705495	0.012277489017171536	0.07801004807946765	Coenzyme transport and metabolism	Stronger in Fusarium	-0.9292367523923535
Repressed	B	24	1219	163	6920	50	1859	136	7011	1.9688269073010665	2.6896180742334588	0.8036611736261055	0.8620613351347182	1.628038800875468	0.005167791056044624	0.706061586692438	0.28680238476648107	2.0259963144377595	1.1548020136767405	3.55442839335435	0.013822630978421508	1.376082415065462	0.22946146921086435	0.03040978815252732	0.3155095201649385	Chromatin structure and dynamics	Stronger in Ophiostoma	1.018631549683373
Repressed	Y	6	1219	27	6920	2	1859	25	7011	0.4922067268252666	0.10758472296933835	1.3378244055075719	0.33628977228061924	0.24019671985630556	0.9955238962032296	-1.7174894850457054	0.8711396935663593	0.17951626092494863	0.03255177812134302	0.9899947037100488	0.048661783874129005	0.21784031186025535	0.0647798859982197	0.09732356774825801	0.1295597719964394	Nuclear structure	No supported difference	-2.4778135628543785
Repressed	F	27	1219	117	6920	22	1859	97	7011	2.2149302707136997	1.183431952662722	1.412084542900875	0.07802471821543734	0.8107287728365986	0.8357170621718166	-0.5549825142488632	0.3296882670340528	0.5740822993688921	0.30084156418805097	1.0954951897626262	0.09230631779087992	0.5288504939720508	0.027621470358969055	0.15621069164610446	0.0759590434871649	Nucleotide transport and metabolism	No supported difference	-0.8006705210869234
Repressed	Q	90	1219	503	6920	107	1859	328	7011	7.383100902378999	5.755782678859602	1.020679011747018	0.4523739725276873	1.3626111923886361	0.00694918120622444	0.2889800529184313	0.17103073794558718	1.3350650976105032	0.9548125949095855	1.8667525170491952	0.09109721017696425	0.7662076517445946	0.0830803566379192	0.15621069164610446	0.15231398716951852	Secondary-metabolite biosynthesis and transport	No supported difference	0.41691008926125106
Repressed	E	119	1219	515	6920	137	1859	476	7011	9.762100082034454	7.369553523399677	1.449166763396106	5.929408162054403e-4	1.1295118653748233	0.1346143256020673	-0.2492338713587527	0.15186767027895168	0.7793976732752866	0.5787443100335685	1.0496184974530396	0.10077141419294643	0.7355069519008458	0.019575740737944377	0.15835507944605867	0.06152375660496804	Amino-acid transport and metabolism	No supported difference	-0.3595684702308303
Repressed	G	101	1219	570	6920	144	1859	460	7011	8.285479901558654	7.746100053792362	1.0077992954658301	0.4916987280249986	1.2849537932832367	0.01011617644430087	0.2429759503044199	0.15497624849180788	1.275037959474945	0.9410325993051171	1.7275934960196986	0.11692150655192271	0.9294574014451338	0.5867573149219055	0.1714848762761533	0.6368666211393514	Carbohydrate transport and metabolism	No supported difference	0.35054019855946994
Repressed	P	62	1219	305	6920	78	1859	212	7011	5.086136177194422	4.195804195804196	1.2035752678291058	0.11717879074517216	1.639919924432035	5.471023312055497e-4	0.30940055459309485	0.20575648050634573	1.3626080601239547	0.9103900479355226	2.039456307464233	0.13265295185453055	0.8173445427876586	0.25126894183261195	0.1823978087999795	0.3251715717833802	Inorganic-ion transport and metabolism	No supported difference	0.446370645759753
