gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN4506_c0_g1	428.931990787935	-0.146814988367581	0.110237275686097	0.104851982396318	0.233618410573169
TRINITY_DN4507_c0_g1	2081.0749452304	0.181462861461508	0.0642359023132122	0.00259587697268309	0.0115101091085333
TRINITY_DN4508_c0_g1	2445.15749079084	0.37333668258286	0.0603321001207285	1.17515067080241e-10	2.15436967836075e-09
TRINITY_DN4509_c0_g1	1313.31656974226	-0.119859643503383	0.0673828789281914	0.0556808274721894	0.144322821312694
TRINITY_DN451_c0_g1	22454.1304983595	0.295840376273844	0.0374460985300208	8.35621440425465e-16	2.61011945467929e-14
TRINITY_DN4510_c0_g1	995.897367413236	0.0537821493472772	0.0753886843593561	0.435200933912018	0.628545245149326
TRINITY_DN4511_c0_g1	2468.2415668057	0.00551296343133268	0.0583015489869637	0.92060364427098	0.962791733018837
TRINITY_DN4512_c0_g1	4319.70066492297	0.356135335993306	0.0573040607022932	1.14114351815441e-10	2.09987535198095e-09
TRINITY_DN4513_c0_g1	1359.93721109209	-0.219956748648669	0.0712877523699971	0.000848011691551217	0.00441236003752485
TRINITY_DN4514_c0_g1	122.708846053123	0.0434365551515738	0.151504041778815	0.634608135592109	0.789877740341042
TRINITY_DN4515_c0_g1	6991.09657057257	-0.370229227103431	0.0467028978396941	4.56435378492251e-16	1.45821439487036e-14
TRINITY_DN4516_c0_g1	1984.93450123298	0.466000462733378	0.0594285454647394	6.17763970740438e-16	1.94824084405859e-14
TRINITY_DN4517_c0_g1	2953.22895486383	-0.113554894212398	0.0501961194962057	0.0183730064082547	0.0589667692579063
TRINITY_DN4518_c0_g1	2833.23593332038	0.0191608648030955	0.0512412736683834	0.698147981761717	0.835256819360688
TRINITY_DN4519_c0_g1	85.3560817720745	0.104567009578422	0.175503138002528	0.277564990359818	0.471471844551187
TRINITY_DN452_c0_g1	10266.8523553178	-0.400606946657164	0.0571631110901306	4.15080327037469e-13	9.90537189193064e-12
TRINITY_DN4520_c0_g1	59.8314158555909	0.0056851031832637	0.155559295556171	0.940994845794908	0.972221900461548
TRINITY_DN4520_c0_g2	122.428012356908	0.0752531476365648	0.150602324724042	0.433792456511638	0.626898391328006
TRINITY_DN4521_c0_g1	22.7195158756734	-1.66813710738615	0.769903959393988	0.000687352367861451	0.00364408217512709
TRINITY_DN4523_c0_g1	1426.54773089427	0.0663507519061847	0.0681218857893841	0.295165903353212	0.491425425239908
TRINITY_DN4525_c0_g1	1254.86747554692	-0.455467731434253	0.072188693930641	4.09517709587682e-11	7.90659388904721e-10
TRINITY_DN4526_c0_g1	3.85640681998607	-0.0048020611659447	0.185337813855989	0.69628336511699	NA
TRINITY_DN4527_c0_g1	1564.59822113294	0.0283998305048795	0.0666752355466374	0.646183945334986	0.798906663406375
TRINITY_DN4529_c0_g1	1962.18608135059	0.0260519286857383	0.0648736659212544	0.670957771132359	0.815964515718063
TRINITY_DN453_c0_g1	4728.2382704549	-0.104278391440735	0.0527158535196395	0.0392402978946474	0.10902800049595
TRINITY_DN4530_c0_g1	62778.8567913312	-0.276827132587015	0.0395683901573408	8.18678934671777e-13	1.88488333128187e-11
