gene_id	response_group	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	n_significant	mean_noncontact	mean_control	mean_reaction	expression_range	maximum_abs_lfc	minimum_relevant_padj	significance_score	selection_score
gene_5946	Multi-region differential response	1.31762150180799e-32	1.0008759456977967	2.6824958929245487e-287	3.043111797212404	7.4210889157592e-128	-2.031421962936745	TRUE	TRUE	TRUE	3	12.871393614872542	10.976067558547271	13.857916139828552	2.8818485812812806	3.043111797212404	2.6824958929245487e-287	286.5714609342946	295.5395331100007
gene_5947	Multi-region differential response	6.51345833920252e-8	1.4843109266634664	1.15438178294339e-15	2.2228461104910764	0.0200131788147377	-0.6080359140114814	TRUE	TRUE	TRUE	3	9.263539300871301	8.843700009401534	10.463678128400161	1.6199781189986275	2.2228461104910764	1.15438178294339e-15	14.937650535370546	21.003320875351324
gene_5948	Reaction-zone specific	1.47556086858278e-10	0.5357857604824353	1.7209378224587802e-14	0.6120133499400446	0.428071544359252	-0.07613999315362607	TRUE	TRUE	FALSE	2	10.184300732261734	10.122739531042654	10.635537107598017	0.5127975765553625	0.6120133499400446	1.7209378224587802e-14	13.764234820463178	15.501059096898631
gene_5949	Reaction-zone specific	1.355920037531e-4	0.5378354159051661	1.08794114642511e-7	0.7422334378299095	0.195449455529102	-0.19499548310415085	TRUE	TRUE	FALSE	2	11.385338234967373	11.196279073471686	11.90328720704625	0.707008133574563	0.7422334378299095	1.08794114642511e-7	6.963394597720694	9.154869606955076
gene_5950	Multi-region differential response	0.0312577202523065	0.30122327685328065	8.55993997977116e-9	0.7837384012322105	7.7946183537562e-4	-0.4646402002105754	TRUE	TRUE	TRUE	3	10.405445461779946	10.012149572245843	10.674490122996925	0.6623405507510824	0.7837384012322105	8.55993997977116e-9	8.06752928048004	10.297346633695543
gene_5951	Non-contact specific	3.2119782832132e-5	-0.5068453523274246	0.382152574642356	-0.11531430326654932	0.00119582707597308	-0.3837628022850088	TRUE	FALSE	TRUE	2	9.94610589315273	9.645156143365915	9.557528433846471	0.38857745930625853	0.5068453523274246	3.2119782832132e-5	4.4932273997297685	5.895495563690876
gene_5952	NA	0.174893373853183	-0.12285982723217412	0.297176641454089	0.09600227041510814	0.0117134108667308	-0.21789505806937196	FALSE	FALSE	TRUE	1	11.292573621399592	11.097050656333039	11.184838786090655	0.1955229650665533	0.21789505806937196	0.0117134108667308	1.9313166228692729	2.56262970407457
gene_5953	Reaction-zone specific	7.02306016739485e-7	-0.4656806370748125	2.22338076199097e-6	-0.4385962481037438	0.831360483721331	-0.02381808326026313	TRUE	TRUE	FALSE	2	10.930403280380522	10.906623577567338	10.520380505962125	0.4100227744183975	0.4656806370748125	7.02306016739485e-7	6.153473610915104	7.494857659483126
gene_5954	Multi-region differential response	2.30993618714615e-37	1.5116376317544442	2.0814106839573297e-12	0.8352113396175074	5.15537458620333e-8	0.6532564898463017	TRUE	TRUE	TRUE	3	11.962971279539106	12.603549423917299	13.4342583963383	1.4712871167991945	1.5116376317544442	2.30993618714615e-37	36.636400017490146	41.13096239779823
gene_5955	Multi-region differential response	7.124816698174742e-14	1.2355540820885953	6.76746194925011e-7	0.7385410262295338	0.00471333816391663	0.4617565649626324	TRUE	TRUE	TRUE	3	8.345566443278196	8.576449425354038	8.998617267673412	0.6530508243952156	1.2355540820885953	7.124816698174742e-14	13.147226304371419	16.271385292943826
gene_5956	NA	0.338320190009744	0.22254246379288323	0.263347272680742	-0.23799730767062996	0.0273947764607445	0.46513593472939063	FALSE	FALSE	TRUE	1	8.249140460926931	8.474783249919044	8.350721246764213	0.2256427889921131	0.46513593472939063	0.0273947764607445	1.5623322390241698	2.718246897475064
gene_5957	NA	0.89535750127263	0.03763911238429752	0.827661086292131	0.04941872227150107	0.942779145206455	-0.01548537958519147	FALSE	FALSE	FALSE	0	7.157974280308804	7.181936301074414	7.17104613772807	0.023962020765609715	0.04941872227150107	0.827661086292131	0.08214746331737913	0.20494692862599098
gene_5958	Reaction-zone specific	0.00342595824004892	1.6519604950296027	7.69304891883293e-7	3.2157897704041463	0.0947286660380057	-0.6028181136199848	TRUE	TRUE	FALSE	2	7.337884688240245	7.218023631588549	7.701179593913481	0.48315596232493174	3.2157897704041463	7.69304891883293e-7	6.1139015059462825	13.028637009079507
gene_5961	Reaction-zone specific	5.10135757187023e-8	0.9428037003639488	1.52367188580709e-7	0.899674007310683	0.871085935284997	0.03835538693991033	TRUE	TRUE	FALSE	2	9.890589225015024	9.932817545836802	10.69700794280522	0.806418717790196	0.9428037003639488	5.10135757187023e-8	7.292314234193271	9.984340352711365
gene_5962	Multi-region differential response	1.03050241649829e-10	0.8271230697708374	2.2407565306323e-4	0.46355072135177583	0.00800504397328096	0.34585952197941766	TRUE	TRUE	TRUE	3	9.616885597051528	9.8790483886942	10.26267432116867	0.6457887241171427	0.8271230697708374	1.03050241649829e-10	9.986950985475605	12.286985849134423
gene_5963	NA	0.421073581798615	0.0921104151525997	0.509618115749305	-0.07446280923980206	0.122981081599915	0.16559527510164637	FALSE	FALSE	FALSE	0	10.184992582477468	10.321117916629733	10.260114048809315	0.1361253341522648	0.16559527510164637	0.122981081599915	0.9101616917206347	1.3774775760761921
gene_5964	NA	0.311001573048224	-0.20535528966899527	0.0359309653901075	-0.38112384052050297	0.367443529099268	0.17172077871910105	FALSE	TRUE	FALSE	1	8.425967209809453	8.51376114804362	8.324482808998834	0.18927833904478675	0.38112384052050297	0.0359309653901075	1.4445311140515669	2.3960571341373598
gene_5965	NA	0.150367192645513	-0.21942967894481755	0.263802614042515	-0.17002347738636708	0.795336679000658	-0.04481897243682718	FALSE	FALSE	FALSE	0	9.803029209274323	9.75827670092935	9.632255062293002	0.1707741469813211	0.21942967894481755	0.150367192645513	0.8228469084733527	1.432480413344309
gene_5966	Reaction-zone specific	4.80423398356847e-5	-0.4683946206026683	7.67385415937317e-7	-0.5594845278016182	0.486079930352456	0.09047608594221586	TRUE	TRUE	FALSE	2	10.694613536204571	10.779669519764019	10.298685761770743	0.4809837579932754	0.5594845278016182	7.67385415937317e-7	6.114986458770923	7.714939272367435
gene_5967	Reaction-zone specific	0.00281765659660667	0.21279264871717785	8.86166016882477e-5	0.27144466181388033	0.465515319912506	-0.05897116202386995	TRUE	TRUE	FALSE	2	11.510312115523302	11.45426393451486	11.70844548048421	0.2541815459693506	0.27144466181388033	8.86166016882477e-5	4.0524849085172265	4.849555778114338
gene_5968	Reaction-zone specific	8.95275701315809e-27	-0.84480560125333	5.78420772639575e-33	-0.9201943893720836	0.397315220143737	0.07569035541026238	TRUE	TRUE	FALSE	2	11.091828862850155	11.15918058669601	10.360982305727203	0.7981982809688066	0.9201943893720836	5.78420772639575e-33	32.23775611875511	34.87634317846808
gene_5969	NA	0.568673165333786	-0.05566062996355254	0.547391330626677	0.05834698611550555	0.223385224466226	-0.11323315587520628	FALSE	FALSE	FALSE	0	11.232706587194713	11.127818373365987	11.182277168021095	0.10488821382872615	0.11323315587520628	0.223385224466226	0.6509455561308864	0.9823000817100251
gene_5970	Reaction-zone specific	0.00166115254508579	0.4438022307763506	7.6117758595396e-4	0.47192309132836224	0.859981182828571	-0.03054719380852108	TRUE	TRUE	FALSE	2	11.052813509596492	11.032844784345322	11.48298533151619	0.45014054717086793	0.47192309132836224	7.6117758595396e-4	3.1185140086664562	4.512500738494048
gene_5971	Non-contact specific	2.86635577132021e-10	-0.46922136734880326	0.829500069320811	-0.01956050201040292	9.61095265498326e-10	-0.4472030888122367	TRUE	FALSE	TRUE	2	11.935786789481615	11.513496092447193	11.495528496122972	0.4402582933586423	0.46922136734880326	2.86635577132021e-10	9.542669906076863	10.921370934133112
gene_5972	Multi-region differential response	1.1402329475868797e-18	0.5959443604769261	0.022586189751305	-0.16258713262584695	7.808441152323318e-30	0.7598036555035215	TRUE	TRUE	TRUE	3	13.424329574175273	14.17577140253023	14.012630756457254	0.7514418283549578	0.7598036555035215	7.808441152323318e-30	29.107435658378318	31.37848479774032
