gene_id	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	sign_reaction_vs_noncontact	sign_reaction_vs_control	sign_control_vs_noncontact	n_significant	is_reaction_specific	is_noncontact_specific	is_plate_wide	is_complex	response_group	mean_noncontact	mean_control	mean_reaction	expression_range	minimum_relevant_padj	significance_score	maximum_abs_lfc	selection_score	selected_rank_within_group
gene_1535	3.7650758003907e-53	1.010645515889928	2.48642341853059e-66	1.106315695089047	0.215493469075832	-0.09384994056227984	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.477053819883585	11.393611353740114	12.430983275374386	1.0373719216342714	2.48642341853059e-66	65.60442491243086	1.106315695089047	68.85442822424322	28
gene_6964	3.91502456628387e-55	1.9960673405739608	1.2724644135234502e-61	2.0396712675327806	0.801103393376762	-0.0402724101735978	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.471730451249059	9.439876494859664	11.077520019349906	1.637643524490242	1.2724644135234502e-61	60.89535435455231	2.0396712675327806	66.61234041410812	29
gene_4176	9.51748138353082e-61	1.7140337787650293	1.10072165325891e-53	1.513932369845676	0.0918000070167016	0.19357836540848583	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.446363145806936	9.593626743959653	10.803274315963892	1.3569111701569554	9.51748138353082e-61	60.02147796400535	1.7140337787650293	64.80645669169236	30
gene_5433	1.0237276011943e-40	1.9689120260364144	1.6808545940725701e-59	2.195954807466979	0.209571713616036	-0.20520080069716487	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	8.424716387207702	8.33979199632467	9.608781860904221	1.2689898645795505	1.6808545940725701e-59	58.774469854510116	2.195954807466979	64.43536933402362	31
gene_5827	8.18600263762954e-59	2.1238995795675155	6.3786999460755e-51	1.841645655433092	0.0596770868449531	0.2647976664887188	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	8.958887396963133	9.12487054752588	10.498733997692367	1.5398466007292342	8.18600263762954e-59	58.08692811975577	2.1238995795675155	63.87457387962003	32
gene_5343	3.42118212163795e-46	-2.5499969049063584	1.32956792295412e-55	-2.776363668787748	0.224972996369438	0.2054169620886676	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.989494173053696	10.17341362510334	8.395614255634882	1.7777993694684575	1.32956792295412e-55	54.87628947118637	2.776363668787748	62.206816178230326	33
gene_3793	5.0611248618115897e-48	-1.4413917603297346	1.3774238635808e-55	-1.50844726558093	0.534369420706273	0.0650737242489082	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	10.239832880820174	10.295502255259374	9.18707043130685	1.1084318239525235	1.3774238635808e-55	54.86093239722431	1.50844726558093	58.98625875233869	34
gene_8585	2.687588463364e-51	-2.5949580269653465	7.43809216956805e-46	-2.4105958815602437	0.250890542366825	-0.17046639366399532	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.50120684251344	9.376310470623858	8.119670788903788	1.3815360536096524	2.687588463364e-51	50.57063723181363	2.5949580269653465	57.14208933935397	35
gene_6545	5.24791520812327e-52	0.9902703431717964	1.32174075798424e-53	0.9914601855210706	0.986936865079262	-0.00140224152912695	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	12.125467850894635	12.12375391792712	13.079680896390926	0.9559269784638058	1.32174075798424e-53	52.87885371763212	0.9914601855210706	55.81770106713807	36
gene_1877	3.21043265733376e-39	-2.010109599916567	1.9598277478208897e-49	-2.272166659191407	0.143264184784723	0.2385106246861333	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	16.363558265881885	16.63162667255624	14.365300189318557	2.266326483237684	1.9598277478208897e-49	48.707782097754894	2.272166659191407	55.51844189937539	37
gene_4754	6.03311347688972e-37	-1.9142697219360847	3.1586513853725997e-50	-2.2150343181482466	0.0539286932338936	0.2811423186786773	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	10.195942391664815	10.444102990988478	8.867453886115571	1.5766491048729065	3.1586513853725997e-50	49.50049830374462	2.2150343181482466	55.507216044914024	38
gene_7161	4.26178356843685e-37	1.668716112880079	5.02410412591596e-50	1.815003716057038	0.374256611020329	-0.13378436018171028	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	8.783237906986296	8.696430059510032	9.882933728992443	1.186503669482411	5.02410412591596e-50	49.29894136830706	1.815003716057038	54.11545246990355	39
gene_2801	1.19790751131823e-51	0.9188856774877412	7.99539568897005e-46	0.8480335719038611	0.332708904513647	0.0693049564137456	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	12.024455331495508	12.09153762895727	12.906254622179487	0.8817992906839791	1.19790751131823e-51	50.921576711892214	0.9188856774877412	53.641147357551674	40
gene_6269	1.61232262050413e-50	-1.2163181100436742	6.858271554732809e-40	-1.0615657262752871	0.076557296571023	-0.1498193759142759	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.412164416313034	11.274023598255772	10.35004699738701	1.0621174189260252	1.61232262050413e-50	49.79254805292438	1.2163181100436742	53.287301691937756	41
