gene_id	protein_id
gene_1696	1980256
gene_1697	1980257
gene_1703	1980263
gene_1705	1980265
gene_1706	1980266
gene_1707	1980267
gene_1708	1980268
gene_1709	1980269
gene_1710	1980270
gene_1711	1980271
gene_1712	1980272
gene_1713	1980273
gene_1720	1980280
gene_1722	1980282
gene_1727	1980287
gene_1728	1980288
gene_1732	1980292
gene_1733	1980293
gene_1734	1980294
gene_1738	1980298
gene_1739	1980299
gene_1740	1980300
gene_1741	1980301
gene_1742	1980302
gene_1744	1980304
gene_1747	1980307
gene_1749	1980309
gene_1751	1980311
gene_1754	1980314
gene_1756	1980316
gene_1757	1980317
gene_1768	1980328
gene_1773	1980333
gene_1776	1980336
gene_1779	1980339
gene_1781	1980341
gene_1782	1980342
gene_1783	1980343
gene_1784	1980344
gene_1789	1980349
gene_1790	1980350
gene_1791	1980351
gene_1792	1980352
gene_1796	1980356
gene_1798	1980358
gene_1799	1980359
gene_1801	1980361
gene_1803	1980363
gene_1804	1980364
gene_1805	1980365
gene_1806	1980366
gene_1808	1980368
gene_1809	1980369
gene_1812	1980372
gene_1814	1980374
gene_1815	1980375
gene_1816	1980376
gene_1817	1980377
gene_1818	1980378
gene_1819	1980379
gene_1825	1980385
gene_1829	1980389
gene_1830	1980390
gene_1834	1980394
gene_1836	1980396
gene_1838	1980398
gene_1840	1980400
gene_1843	1980403
gene_1847	1980407
gene_1852	1980412
gene_1853	1980413
gene_1865	1980425
gene_1866	1980426
gene_1867	1980427
gene_1869	1980429
gene_1871	1980431
gene_1881	1980441
gene_1885	1980445
gene_1887	1980447
gene_1888	1980448
gene_1890	1980450
gene_1891	1980451
gene_1894	1980454
gene_1898	1980458
gene_1900	1980460
gene_1903	1980463
gene_1904	1980464
gene_1905	1980465
gene_1908	1980468
gene_1910	1980470
gene_1911	1980471
gene_1914	1980474
gene_1915	1980475
gene_1916	1980476
gene_1917	1980477
gene_1919	1980479
gene_1921	1980481
gene_1923	1980483
gene_1924	1980484
gene_1925	1980485
gene_1928	1980488
gene_1929	1980489
gene_1930	1980490
gene_1931	1980491
gene_1934	1980494
gene_1936	1980496
gene_1938	1980498
gene_1942	1980502
gene_1943	1980503
gene_1945	1980505
gene_1952	1980512
gene_1956	1980516
gene_1957	1980517
gene_1958	1980518
gene_1970	1980530
gene_1971	1980531
gene_1975	1980535
gene_1976	1980536
