ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map05166	map05166	1/11	61/2403	0.0163934426229508	3.58122205663189	1.38451956134207	0.246809818016966	0.292072004026674	0.258033537391987	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5166	map05166	ko,map
map00380	map00380	1/11	62/2403	0.0161290322580645	3.52346041055718	1.36487817740126	0.250347432022864	0.292072004026674	0.258033537391987	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	380	map00380	ko,map
map05169	map05169	1/11	68/2403	0.0147058823529412	3.21256684491979	1.25490159299994	0.271257800796741	0.310008915196276	0.273880056658364	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5169	map05169	ko,map
map00330	map00330	1/11	70/2403	0.0142857142857143	3.12077922077922	1.22092606848082	0.2781091854674	0.311482287723488	0.275181720357217	TRINITY_DN11387_c0_g1	1	interaction_vs_self	strong	up	FALSE	330	map00330	ko,map
map05016	map05016	1/11	77/2403	0.012987012987013	2.8370720188902	1.110884599758	0.301630444778208	0.331202057011366	0.292603321043876	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5016	map05016	ko,map
map04146	map04146	1/11	79/2403	0.0126582278481013	2.76524741081703	1.08169126686454	0.30822162666756	0.331930982565064	0.293247296627031	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	4146	map04146	ko,map
map04011	map04011	1/11	84/2403	0.0119047619047619	2.60064935064935	1.01248297196713	0.324452910332601	0.342818169408031	0.30286567598078	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	4011	map04011	ko,map
map04714	map04714	1/11	97/2403	0.0103092783505155	2.25210871602624	0.853494075504558	0.365047143432059	0.378567408003616	0.334448649928007	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4714	map04714	ko,map
map01130	map01130	2/11	317/2403	0.00630914826498423	1.37826211643246	0.490080681839715	0.436709710171864	0.444649886720444	0.392829787140242	TRINITY_DN4059_c0_g1/TRINITY_DN4740_c0_g1	2	interaction_vs_self	strong	up	FALSE	1130	map01130	ko,map
map01120	map01120	1/11	294/2403	0.00340136054421769	0.7430426716141	-0.318858970828449	0.762774766962048	0.762774766962048	0.673879963293539	TRINITY_DN5791_c0_g1	1	interaction_vs_self	strong	up	FALSE	1120	map01120	ko,map
