ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map01220	map01220	10/379	40/2403	0.25	1.58509234828496	1.61444556322626	0.0864995233804837	0.682624851217905	0.671312000833489	TRINITY_DN12267_c0_g1/TRINITY_DN16298_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN3491_c0_g1/TRINITY_DN3804_c0_g1/TRINITY_DN4096_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN5276_c0_g1/TRINITY_DN5360_c0_g1/TRINITY_DN5388_c1_g1	10	interaction_vs_self	significant	up	FALSE	1220	map01220	ko,map
map04934	map04934	5/379	16/2403	0.3125	1.9813654353562	1.70398352669966	0.0933911695339215	0.682624851217905	0.671312000833489	TRINITY_DN1008_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN566_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN661_c0_g1	5	interaction_vs_self	significant	up	FALSE	4934	map04934	ko,map
map00626	map00626	6/379	21/2403	0.285714285714286	1.81153411232567	1.61601877106294	0.0994812645524863	0.682624851217905	0.671312000833489	TRINITY_DN12267_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN3491_c0_g1/TRINITY_DN4096_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN5360_c0_g1	6	interaction_vs_self	significant	up	FALSE	626	map00626	ko,map
map04011	map04011	18/379	84/2403	0.214285714285714	1.35865058424425	1.44764363036956	0.100583382682917	0.682624851217905	0.671312000833489	TRINITY_DN1037_c0_g1/TRINITY_DN1432_c0_g1/TRINITY_DN1507_c0_g1/TRINITY_DN1734_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2948_c0_g1/TRINITY_DN298_c0_g1/TRINITY_DN2998_c0_g1/TRINITY_DN3083_c0_g1/TRINITY_DN3614_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN386_c0_g1/TRINITY_DN398_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4740_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN894_c0_g1	18	interaction_vs_self	significant	up	FALSE	4011	map04011	ko,map
map00680	map00680	7/379	26/2403	0.269230769230769	1.70702252892227	1.56821711087985	0.101877611120903	0.682624851217905	0.671312000833489	TRINITY_DN14260_c0_g1/TRINITY_DN18073_c0_g1/TRINITY_DN1972_c0_g1/TRINITY_DN2555_c0_g1/TRINITY_DN5791_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN9084_c0_g1	7	interaction_vs_self	significant	up	FALSE	680	map00680	ko,map
map03460	map03460	7/379	26/2403	0.269230769230769	1.70702252892227	1.56821711087985	0.101877611120903	0.682624851217905	0.671312000833489	TRINITY_DN138_c0_g1/TRINITY_DN14234_c0_g1/TRINITY_DN15874_c0_g1/TRINITY_DN2715_c0_g1/TRINITY_DN383_c0_g1/TRINITY_DN556_c0_g1/TRINITY_DN904_c0_g1	7	interaction_vs_self	significant	up	FALSE	3460	map03460	ko,map
map04919	map04919	7/379	26/2403	0.269230769230769	1.70702252892227	1.56821711087985	0.101877611120903	0.682624851217905	0.671312000833489	TRINITY_DN1222_c0_g1/TRINITY_DN15788_c0_g1/TRINITY_DN16277_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN577_c0_g1/TRINITY_DN8872_c0_g1	7	interaction_vs_self	significant	up	FALSE	4919	map04919	ko,map
map00621	map00621	4/379	12/2403	0.333333333333333	2.11345646437995	1.67291905681644	0.106312780894498	0.682624851217905	0.671312000833489	TRINITY_DN12267_c0_g1/TRINITY_DN3491_c0_g1/TRINITY_DN4096_c0_g1/TRINITY_DN5360_c0_g1	4	interaction_vs_self	significant	up	FALSE	621	map00621	ko,map
map00624	map00624	4/379	12/2403	0.333333333333333	2.11345646437995	1.67291905681644	0.106312780894498	0.682624851217905	0.671312000833489	TRINITY_DN12267_c0_g1/TRINITY_DN3491_c0_g1/TRINITY_DN4096_c0_g1/TRINITY_DN5360_c0_g1	4	interaction_vs_self	significant	up	FALSE	624	map00624	ko,map
map04624	map04624	4/379	12/2403	0.333333333333333	2.11345646437995	1.67291905681644	0.106312780894498	0.682624851217905	0.671312000833489	TRINITY_DN1008_c0_g1/TRINITY_DN1997_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN6381_c0_g1	4	interaction_vs_self	significant	up	FALSE	4624	map04624	ko,map
map05418	map05418	9/379	37/2403	0.243243243243243	1.54225201454753	1.43812129939939	0.11591815484947	0.682624851217905	0.671312000833489	TRINITY_DN1372_c0_g1/TRINITY_DN1400_c0_g1/TRINITY_DN14291_c0_g1/TRINITY_DN268_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN4802_c0_g1/TRINITY_DN577_c0_g1/TRINITY_DN5915_c0_g1	9	interaction_vs_self	significant	up	FALSE	5418	map05418	ko,map
map04612	map04612	3/379	8/2403	0.375	2.37763852242744	1.68860614492209	0.118195916497065	0.682624851217905	0.671312000833489	TRINITY_DN4797_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN896_c0_g1	3	interaction_vs_self	significant	up	FALSE	4612	map04612	ko,map
map04657	map04657	3/379	8/2403	0.375	2.37763852242744	1.68860614492209	0.118195916497065	0.682624851217905	0.671312000833489	TRINITY_DN3029_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4797_c0_g1	3	interaction_vs_self	significant	up	FALSE	4657	map04657	ko,map
map05204	map05204	8/379	32/2403	0.25	1.58509234828496	1.44156584206748	0.118418246436768	0.682624851217905	0.671312000833489	TRINITY_DN1115_c0_g1/TRINITY_DN1372_c0_g1/TRINITY_DN1400_c0_g1/TRINITY_DN268_c0_g1/TRINITY_DN4802_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN5915_c0_g1	8	interaction_vs_self	significant	up	FALSE	5204	map05204	ko,map
map05152	map05152	7/379	27/2403	0.259259259259259	1.64379947229551	1.45549303897965	0.119868914029136	0.682624851217905	0.671312000833489	TRINITY_DN10814_c0_g1/TRINITY_DN10855_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN896_c0_g1	7	interaction_vs_self	significant	up	FALSE	5152	map05152	ko,map
map00564	map00564	11/379	48/2403	0.229166666666667	1.45300131926121	1.37159370169944	0.12282523274509	0.682624851217905	0.671312000833489	TRINITY_DN1310_c0_g1/TRINITY_DN1400_c0_g1/TRINITY_DN1682_c0_g1/TRINITY_DN1993_c0_g1/TRINITY_DN2503_c0_g1/TRINITY_DN3796_c0_g1/TRINITY_DN511_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN806_c0_g1/TRINITY_DN873_c0_g1/TRINITY_DN8758_c0_g1	11	interaction_vs_self	significant	up	FALSE	564	map00564	ko,map
map04142	map04142	11/379	48/2403	0.229166666666667	1.45300131926121	1.37159370169944	0.12282523274509	0.682624851217905	0.671312000833489	TRINITY_DN10855_c0_g1/TRINITY_DN14385_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN17902_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN2993_c0_g1/TRINITY_DN3170_c0_g1/TRINITY_DN3944_c0_g1/TRINITY_DN486_c0_g1/TRINITY_DN5083_c0_g1/TRINITY_DN674_c0_g1	11	interaction_vs_self	significant	up	FALSE	4142	map04142	ko,map
map00062	map00062	3/379	9/2403	0.333333333333333	2.11345646437995	1.44788235370321	0.157406379232485	0.827098974512511	0.813391816129586	TRINITY_DN1960_c0_g1/TRINITY_DN2839_c0_g1/TRINITY_DN8903_c0_g1	3	interaction_vs_self	significant	up	FALSE	62	map00062	ko,map
map00430	map00430	3/379	9/2403	0.333333333333333	2.11345646437995	1.44788235370321	0.157406379232485	0.827098974512511	0.813391816129586	TRINITY_DN111_c0_g1/TRINITY_DN16116_c0_g1/TRINITY_DN1972_c0_g1	3	interaction_vs_self	significant	up	FALSE	430	map00430	ko,map
map04668	map04668	3/379	9/2403	0.333333333333333	2.11345646437995	1.44788235370321	0.157406379232485	0.827098974512511	0.813391816129586	TRINITY_DN1008_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN6381_c0_g1	3	interaction_vs_self	significant	up	FALSE	4668	map04668	ko,map
map04933	map04933	4/379	14/2403	0.285714285714286	1.81153411232567	1.31753929053788	0.167120810889874	0.839988625522422	0.826067852453302	TRINITY_DN15788_c0_g1/TRINITY_DN16277_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN8872_c0_g1	4	interaction_vs_self	significant	up	FALSE	4933	map04933	ko,map
map04915	map04915	5/379	19/2403	0.263157894736842	1.66851826135259	1.26572046580793	0.167897674615197	0.839988625522422	0.826067852453302	TRINITY_DN1008_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN566_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN6594_c0_g1	5	interaction_vs_self	significant	up	FALSE	4915	map04915	ko,map
