gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE
gene_5373	interaction_vs_onu	422.631190311686	-0.00253793542076082	0.15426424967041	-0.0164518702562855	0.986873898856099	0.991739912445199	-0.002118834403615817	0.14760577428537883
gene_5374	interaction_vs_onu	2644.08314093829	0.374488117070562	0.0671499088275639	5.57689688056347	2.4484691015085e-8	1.2192493024382e-7	0.37020903333017063	0.06687742104091475
gene_5375	interaction_vs_onu	2495.63628576766	0.476290399391151	0.19483363922541	2.44460043596534	0.0145012698104197	0.0270751660881802	0.429950613857421	0.19003720340278285
gene_5376	interaction_vs_onu	442.515563043284	0.686606632701558	0.19776916136181	3.4717578209549	5.1706256241918e-4	0.00134776356099519	0.6327282847422945	0.19673128292584574
gene_5377	interaction_vs_onu	2546.51001901516	0.693435413702726	0.181055556823626	3.82995930016239	1.2816445505161e-4	3.7417726304292e-4	0.6484913922509561	0.1804442335708367
gene_5378	interaction_vs_onu	640.542331341005	0.313061777195881	0.184647180697051	1.69545928626724	0.0899883274275352	0.1366507154124	0.28098702772716566	0.17728716975234035
gene_5379	interaction_vs_onu	461.11493154652	0.822895910450345	0.212912045517427	3.86495704576277	1.1110875148026e-4	3.2728524180009e-4	0.7599784605064664	0.21350035700661216
gene_5380	interaction_vs_onu	808.241438840219	0.0243880813461086	0.113348598282997	0.21515997299957	0.829642596966974	0.872128285648692	0.023646458416981295	0.11064530398647852
gene_5381	interaction_vs_onu	432.897375565218	-0.497085984996867	0.125500176331803	-3.96083893685254	7.46868989025872e-5	2.2670916830005e-4	-0.4765100855109426	0.12445401099155738
gene_5382	interaction_vs_onu	117.559515641865	-0.437144469375403	0.17854419205139	-2.44838246684373	0.0143499239292119	0.0268258023223529	-0.39908515227052777	0.17412338248235903
gene_5383	interaction_vs_onu	4.73564467158015	0.821723727955763	0.96020681968272	0.855777850262805	0.392120669165286	0.481364251836347	0.1885707319462521	0.4857304651312936
gene_5384	interaction_vs_onu	111.339400042448	-0.27684153441819	0.185238215587565	-1.49451630993132	0.135040722189323	0.194932307241249	-0.24729975910729476	0.1770438003914231
gene_5385	interaction_vs_onu	762.657145650802	0.239526736998547	0.163921604139484	1.46122738522452	0.143953050017259	0.205818959102679	0.21859819511869144	0.15777979551180024
gene_5386	interaction_vs_onu	809.511484403083	1.42312741523395	0.168385034515089	8.45162647222324	2.8727240847773e-17	3.1648028527276297e-16	1.3890062900650393	0.16949762863158804
gene_5387	interaction_vs_onu	368.947520892981	-0.0898120294738925	0.140879030698505	-0.637511693745957	0.523791595441423	0.609523661905734	-0.08324679948421604	0.13591402454157725
gene_5388	interaction_vs_onu	273.813369425692	0.523746744348857	0.13418767419319	3.90309130475588	9.49718548024836e-5	2.8365634232702e-4	0.5004875619203734	0.1331748818963805
gene_5389	interaction_vs_onu	1376.34453035685	0.713865465082052	0.129174350138637	5.52637163891975	3.26921245811736e-8	1.59637527903506e-7	0.6898289356507749	0.12908599005354274
gene_5390	interaction_vs_onu	789.773263630439	0.820676984746592	0.160856864591894	5.10190837567742	3.3624553926504e-7	1.44346129193016e-6	0.7848967055834211	0.1611670160397953
gene_5391	interaction_vs_onu	174.623942691487	-0.912829117478622	0.18239281097572	-5.00474285469584	5.59366508759253e-7	2.33341974414191e-6	-0.867077149119931	0.1830398691737798
gene_5392	interaction_vs_onu	2715.86605697494	0.0768806244404666	0.0754649022849817	1.0187600077999	0.308316916194955	0.393087995625382	0.07667807286913307	0.0746712959122649
gene_5393	interaction_vs_onu	472.701699157038	-0.109573418846087	0.164296975006455	-0.666922923211352	0.504821367795521	0.591873840341003	-0.09954168334503495	0.1566459536813416
gene_5394	interaction_vs_onu	539.668362042314	-0.165384958517287	0.121006857601494	-1.3667403798051	0.171706696238609	0.239851390307195	-0.1566811718232023	0.1181191181510044
gene_5395	interaction_vs_onu	765.103764103558	0.368269106788458	0.233282874173279	1.57863755791569	0.114419214765369	0.168692469581736	0.3131403788502069	0.22033950105267414
gene_5396	interaction_vs_onu	327.166003345372	-0.0257342792097	0.127198275814648	-0.202316258179471	0.839669490592242	0.880705229302544	-0.023947658797818832	0.12342051809096802
gene_5397	interaction_vs_onu	4041.9094776615	0.711169583533772	0.147580543150812	4.81885733952768	1.44382743154939e-6	5.68498749496908e-6	0.6813542725896607	0.14742555782484867
gene_5398	interaction_vs_onu	364.431998364368	-0.433842407002569	0.170073014131274	-2.55091855235599	0.0107439430575428	0.0207322255573865	-0.3991959025773027	0.16639490550273794
gene_5399	interaction_vs_onu	6851.14255808299	0.0640397406270584	0.0995719672246168	0.643150300351062	0.520126578521133	0.606412900046432	0.06131551342731564	0.09766584396848729
gene_5400	interaction_vs_onu	44.7765580776665	-0.40772764066615	0.333729577987613	-1.2217306093297	0.221809516993665	0.297927108969994	-0.29698597194948967	0.29693646528433787
gene_5401	interaction_vs_onu	219.099786117684	-0.959481000211327	0.194213839399106	-4.94033279595288	7.79893455545342e-7	3.17748118965642e-6	-0.907900256768812	0.19545407103544696
gene_5402	interaction_vs_onu	4671.9525498529	0.108232618122124	0.112623287717221	0.96101454961853106	0.336544852259425	0.422594093492838	0.1033787306097662	0.11008898327394902
gene_5403	interaction_vs_onu	0.8842985032685	1.26951016936557	2.27715186617413	0.557499123454811	0.577186457800547	0.657709808143329	0.06008205097894457	0.500027736476868
gene_5404	interaction_vs_onu	17.6302462411656	1.38435522503785	0.52977814076823	2.61308483402203	0.00897290265613233	0.0176732735242735	1.0176946124215138	0.5663386666400307
gene_5405	interaction_vs_onu	342.047641590788	1.47204994430196	0.12358286331685	11.9114406706035	1.03178967723714e-32	2.59768224622056e-31	1.455286346602886	0.12397444609668146
gene_5406	interaction_vs_onu	4624.83715550034	0.148675061017689	0.0896199073879397	1.65895129052204	0.0971256079930851	0.146320873710104	0.14436953864660243	0.08839539180591877
gene_5407	interaction_vs_onu	15.698574983145	2.67633596133192	0.765726018802774	3.49516131829556	4.7377530961779e-4	0.00124670047658418	2.1864902342580628	0.8570970188149112
gene_5408	interaction_vs_onu	424.162503106543	2.72100407801847	0.126360258274202	21.5337014594722	7.5274751116072e-103	9.76290711444812e-101	2.709964465145233	0.12656012197748662
gene_5409	interaction_vs_onu	279.412329118602	-1.08304345657216	0.185950926249747	-5.82435096406857	5.733497599657951e-9	3.03705070872971e-8	-1.0374348380769702	0.18733192276653984
gene_5410	interaction_vs_onu	20.2313816706683	-0.650203077867854	0.524113922686425	-1.24057585521701	0.214762475992086	0.290008959534982	-0.34849750504032456	0.42217759901350693
gene_5411	interaction_vs_onu	79.0679752088927	-1.18503756497509	0.226060554539421	-5.24212447142536	1.58738224978585e-7	7.12158912901828e-7	-1.1195580091426192	0.22829981541520078
gene_5412	interaction_vs_onu	1144.97116940426	0.3119664220554	0.257976651659617	1.20928161540378	0.226554671466048	0.303396118233632	0.2520967428186108	0.23736309836500544
gene_5413	interaction_vs_onu	2171.21643913495	0.224825411597772	0.0640674178589196	3.50920045026398	4.4945602755112e-4	0.00118855223844227	0.22405401907870173	0.0636734990919521
gene_5414	interaction_vs_onu	7700.41285315529	0.0127288300676867	0.0878397664549265	0.144909652898705	0.88478220497392	0.917028172245642	0.011956592139503336	0.0865430182591823
gene_5415	interaction_vs_onu	858.686910861547	0.0157912279563383	0.112038766177588	0.140944322176025	0.887913927577721	0.919494703613029	0.01517870070108664	0.1094255359044826
gene_5416	interaction_vs_onu	1847.76287595856	0.0859572163007626	0.124317150912531	0.691434895907818	0.489292280814937	0.57672092436057	0.08086266344261148	0.12082210141770577
gene_5417	interaction_vs_onu	1717.90546729457	0.110440438176627	0.105750308128214	1.0443509823416	0.296323033327017	0.3804597518043	0.10602314112538411	0.10364131923455056
gene_5418	interaction_vs_onu	242.4428095994	-0.284333500148541	0.14073018630874	-2.02041585822076	0.0433402698597772	0.0719396373860177	-0.26597215924056433	0.13725368857882472
gene_5419	interaction_vs_onu	442.535602907295	-0.358812751240177	0.175426636593382	-2.04537211798607	0.0408181856244089	0.0682962605443589	-0.3259886689527075	0.16994944485115485
gene_5420	interaction_vs_onu	727.781189647365	-0.465412772634019	0.172331944923614	-2.70067614475257	0.00691986834176956	0.0140398371665199	-0.4285432008503106	0.16895760519102296
gene_5421	interaction_vs_onu	697.439686727462	0.214002426945304	0.105180004502821	2.03463032690367	0.0418880834954147	0.0697862971430031	0.20585324119031306	0.10344855727409881
gene_5422	interaction_vs_onu	0.862728074092253	-0.64928595530591	2.78914057235159	-0.232790688910485	0.815923943494578	0.860878707791642	-0.01901178555302585	0.49863132503837
gene_5423	interaction_vs_onu	2080.4681208492	0.13370758399079	0.170594315636538	0.783775142166298	0.43317206216394	0.521691312833731	0.12076441551476322	0.16232581854706715
gene_5424	interaction_vs_onu	2642.84893198164	0.3162766708766	0.140721369190498	2.24753832837177	0.0246056439103374	0.0433116002205405	0.29783243115695085	0.13756017325534475
gene_5425	interaction_vs_onu	717.600935392433	-0.0284566917479923	0.154112346994881	-0.184649006409185	0.853504345248914	0.891192631779788	-0.02581056655038843	0.1474690426704601
gene_5426	interaction_vs_onu	357.798352390935	0.0823261730095036	0.140778553713646	0.584792007289413	0.558687579294082	0.641153730896547	0.0764675763664142	0.13584201975047483
