ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Fatty acid biosynthesis (path 1)	Fatty acid biosynthesis (path 1)	5/267	21/1145	0.238095238095238	1.02104512216872	0.0536536569212214	0.564092772748202	0.999080029200713	0.999080029200713	gene_4914/gene_6041/gene_6999/gene_7936/gene_8242	5	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Peptidoglycan biosynthesis	Peptidoglycan biosynthesis	5/267	21/1145	0.238095238095238	1.02104512216872	0.0536536569212214	0.564092772748202	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_3709/gene_4069	5	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
N-Glycans biosynthesis	N-Glycans biosynthesis	8/267	35/1145	0.228571428571429	0.980203317281969	-0.0655671551000159	0.593115716128473	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_2888/gene_3037/gene_3431/gene_4069/gene_5971/gene_8183	8	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Sterol biosynthesis	Sterol biosynthesis	5/267	22/1145	0.227272727272727	0.974633980251958	-0.0662209144192423	0.609740928442064	0.999080029200713	0.999080029200713	gene_627/gene_4253/gene_5766/gene_6166/gene_8181	5	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	7/267	31/1145	0.225806451612903	0.968346019089042	-0.0984890554881497	0.609957691877259	0.999080029200713	0.999080029200713	gene_1589/gene_1864/gene_5232/gene_5622/gene_6170/gene_6989/gene_7634	7	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Sulfur metabolism	Sulfur metabolism	3/267	13/1145	0.230769230769231	0.989628349178911	-0.0207308798585461	0.615562773989566	0.999080029200713	0.999080029200713	gene_2070/gene_3815/gene_5159	3	onu_vs_self	significant	down	FALSE	Energy Metabolism	METABOLIC
Cyanoamino acid metabolism	Cyanoamino acid metabolism	8/267	36/1145	0.222222222222222	0.95297544735747	-0.158027087129754	0.628363496660126	0.999080029200713	0.999080029200713	gene_1439/gene_1902/gene_3731/gene_3858/gene_3938/gene_5515/gene_5659/gene_6311	8	onu_vs_self	significant	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Fatty acid metabolism	Fatty acid metabolism	10/267	45/1145	0.222222222222222	0.95297544735747	-0.177400962562043	0.629414717702757	0.999080029200713	0.999080029200713	gene_613/gene_929/gene_1225/gene_2106/gene_2229/gene_4258/gene_4567/gene_7217/gene_7852/gene_7933	10	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis	4/267	18/1145	0.222222222222222	0.95297544735747	-0.110846083314841	0.635506256269999	0.999080029200713	0.999080029200713	gene_1107/gene_4034/gene_5230/gene_7839	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Blood group glycolipid biosynthesis - lact series	Blood group glycolipid biosynthesis - lact series	4/267	19/1145	0.210526315789474	0.902818844864971	-0.235456696847583	0.680799419637194	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_4069	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Lipids	METABOLIC
