family	class	substrates	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc	total_significant	total_secreted	total_secreted_up	total_secreted_down
GH7	GH	Unassigned	1	1	0	1	1	0	0.188611367533009	0.188611367533009	0.188611367533009	0	0	0	0	0	0				1	1	1	0
GH13_1	GH	Alpha-glucan	0	0	0	0	0	0				1	0	1	1	0	1	-3.159018810999134	-3.159018810999134	3.159018810999134	1	1	0	1
GH16_19	GH	Unassigned	1	1	0	1	1	0	0.182444805239838	0.182444805239838	0.182444805239838	0	0	0	0	0	0				1	1	1	0
GH16_22	GH	Unassigned	1	0	1	1	0	1	-0.135788147905973	-0.135788147905973	0.135788147905973	0	0	0	0	0	0				1	1	0	1
GH16_23	GH	Unassigned	0	0	0	0	0	0				1	0	1	1	0	1	-0.7908168644897152	-0.7908168644897152	0.7908168644897152	1	1	0	1
GH29	GH	Host glycan	0	0	0	0	0	0				1	1	0	1	1	0	1.1993710838164326	1.1993710838164326	1.1993710838164326	1	1	1	0
GH31	GH	Xyloglucan	0	0	0	0	0	0				1	0	1	1	0	1	-1.8964691898429968	-1.8964691898429968	1.8964691898429968	1	1	0	1
GH43_5	GH	Unassigned	1	0	1	1	0	1	-0.421473568103076	-0.421473568103076	0.421473568103076	0	0	0	0	0	0				1	1	0	1
GH43_21	GH	Unassigned	0	0	0	0	0	0				1	0	1	1	0	1	-2.1937347374613183	-2.1937347374613183	2.1937347374613183	1	1	0	1
GH43_33	GH	Unassigned	1	1	0	1	1	0	0.693613979780552	0.693613979780552	0.693613979780552	0	0	0	0	0	0				1	1	1	0
GH45	GH	Unassigned	1	0	1	1	0	1	-0.466994357453133	-0.466994357453133	0.466994357453133	0	0	0	0	0	0				1	1	0	1
GH92	GH	Host glycan	0	0	0	0	0	0				1	0	1	1	0	1	-0.34268504959929824	-0.34268504959929824	0.34268504959929824	1	1	0	1
