gene_321	3432	3376	3079	2266	2049	3554	4028	5622	8263
gene_322	1804	1874	1860	1317	1242	2009	2053	2725	3886
gene_323	333	323	314	677	545	1255	1382	1473	2205
gene_324	891	834	678	740	600	1321	2049	2195	3375
gene_325	439	443	427	529	504	930	893	1215	1470
gene_326	1867	1655	1518	2092	1711	4006	3936	3584	5485
gene_327	3095	2850	2833	1439	1250	1993	2604	3749	4125
gene_328	3864	3677	3317	3036	2633	5636	6072	7026	10338
gene_329	285	255	283	375	343	405	1594	2443	2498
gene_330	79	100	76	127	87	153	400	537	595
gene_331	4885	4536	4140	1503	1232	2489	3336	3682	5151
gene_332	601	624	562	464	377	668	1078	1343	1657
gene_333	2498	2318	2023	3717	3126	6900	6617	7114	10800
gene_334	1008	1028	976	871	699	1235	1541	1995	2496
gene_335	2105	1916	1838	1515	1210	2208	3638	4538	5760
gene_336	281	253	241	358	313	524	711	988	1046
gene_337	585	486	430	1051	852	2123	2258	1995	3186
gene_338	398	379	352	507	355	802	672	815	1421
gene_339	1329	1444	1267	1253	892	1832	2687	3142	3967
gene_340	239	210	216	363	272	797	1210	1199	1607
gene_341	2520	2404	2245	1584	1228	2597	3279	3887	5285
gene_342	968	979	958	849	816	891	1246	2177	2039
gene_343	477	468	450	415	333	616	665	823	1195
gene_344	1159	1146	1036	793	618	1323	2294	2978	4213
gene_345	3205	3062	2651	3350	2759	5557	5512	6533	9030
gene_346	0	0	0	0	0	6	7	1	0
gene_347	743	665	703	426	438	887	2000	2212	2427
gene_348	995	961	878	920	807	1531	1921	2106	2658
gene_349	1228	1272	1292	1246	1155	1736	1984	2677	3090
gene_350	577	531	491	319	276	619	1471	1279	2221
gene_351	1784	1464	1328	1439	1005	2620	3812	3890	5607
gene_352	5575	5422	4751	5562	4330	10729	12998	12825	17843
gene_353	416	355	361	305	256	539	746	1023	1288
gene_354	413	416	343	444	336	707	1011	1173	1141
gene_355	950	859	865	896	777	1462	1898	2434	3101
gene_356	1959	1681	1556	1411	1075	2398	4095	4467	6206
gene_357	557	524	506	745	556	1182	1157	1208	1667
gene_358	1310	1186	1263	1249	1102	1604	2476	3238	3946
gene_359	150	158	153	172	165	193	247	318	396
gene_360	730	724	614	1160	925	1559	1429	1687	2346
gene_361	3885	3673	3415	3014	2366	4685	6408	8008	10734
gene_362	1454	1401	1241	1750	1536	2586	1985	2743	3868
gene_363	151	146	121	276	198	456	717	681	993
gene_364	906	786	688	627	494	1188	3142	3532	4331
gene_365	5006	4400	4280	4286	3401	7585	14548	15556	17803
gene_366	843	849	728	1167	956	1849	2715	2957	4032
gene_367	638	604	549	1057	838	1389	1610	2049	2437
gene_368	3425	2892	2781	1348	1041	2536	4677	5223	8181
gene_369	1101	1015	988	1155	930	1948	2567	2953	3587
gene_370	10436	9542	8399	9582	7601	19814	19602	18143	30548
gene_371	330	346	289	448	326	823	846	848	1001
gene_372	1308	1297	1156	828	629	1350	2178	2403	2995
gene_373	716	730	770	918	804	1154	1526	2207	2445
gene_374	2783	2610	2565	2058	1770	3193	5627	6576	8031
gene_375	3781	3546	3187	3830	3397	7927	4729	4519	7175
gene_376	66	56	66	90	72	172	161	154	222
gene_377	2131	1976	1800	1960	1370	3547	5016	4965	6683
gene_378	2554	2399	2190	1601	1300	3118	4976	5360	8147
gene_379	545	605	592	528	426	619	838	1223	1406
gene_380	199	198	127	335	223	562	906	919	1155
gene_381	2436	2360	2131	1771	1475	3491	3791	3982	6761
gene_382	953	779	727	975	745	1924	2192	2293	3370
gene_383	459	469	375	429	344	731	1159	1497	1782
gene_384	3611	3370	3172	1722	1560	2791	6900	8691	9936
gene_385	999	872	718	1051	815	2520	3035	2723	3876
gene_386	4236	3921	3399	2832	2468	5966	6488	6806	11369
gene_387	2667	2534	2347	1510	1146	3036	7903	7429	10151
gene_388	7876	7435	6896	3947	3000	6269	13205	15731	23363
gene_389	1860	1747	1497	2309	1736	4093	3180	3461	4434
gene_390	416	400	395	794	554	1313	1999	2324	2864
gene_391	862	811	755	1368	1011	1990	1824	2232	2627
gene_392	11569	10836	10527	15340	13478	19937	6553	9153	9107
gene_393	5926	6240	5806	9158	6602	11551	4488	5469	5928
